Name,Average Runtime,End Date,Premiere Date,Genres,Type,Language,Network,Critic_Rating,Total Seasons,Total Episodes,Premier Date,User_Rating,vote_count,poster_path,tagline,Metacritic_Rating
Suits,60.0,2011-06-23,2019-09-25,"['Drama', 'Legal']",Scripted,English,USA Network,8.2,9,134,2019-09-25,8.208,4470.0,/vQiryp6LioFxQThywxbC6TuoDjy.jpg,Two lawyers. One degree.,61.0
Friday Night Lights,60.0,2006-10-03,2011-02-09,"['Drama', 'Sports']",Scripted,English,NBC,8.2,5,76,2011-02-09,8.074,237.0,/Eu7MzZY1DldJ683z7vLkILHNRD.jpg,Clear eyes. Full hearts. Can't lose!,83.6
Prison Break,60.0,2005-08-29,2017-05-30,"['Drama', 'Crime', 'Thriller']",Scripted,English,FOX,8.2,5,88,2017-05-30,8.094,4508.0,/z885tJn5kkUHppjIK1g2Q54iTff.jpg,Break in. Break out. Save your brother's life.,56.5
Halt and Catch Fire,60.0,2014-06-01,2017-10-14,['Drama'],Scripted,English,AMC,8.2,4,40,2017-10-14,8.014,403.0,/iABJ86eaNPUSnivk89Y0Cnxmsvy.jpg,What are you searching for?,79.25
Mad Men,60.0,2007-07-19,2015-05-17,['Drama'],Scripted,English,AMC,8.2,7,92,2015-05-17,8.105,1023.0,/7v8iCNzKFpdlrCMcqCoJyn74Nsa.jpg,Where the truth lies.,86.12
Doctor Who,48.0,2005-03-26,2022-10-23,"['Drama', 'Adventure', 'Science-Fiction']",Scripted,English,BBC One,8.2,13,153,2022-10-23,7.4,2639.0,/sz4zF5z9zyFh8Z6g5IQPNq91cI7.jpg,Space. For all.,76.0
Angel,60.0,1999-10-05,2004-05-19,"['Drama', 'Action', 'Supernatural']",Scripted,English,The WB,8.2,5,110,2004-05-19,7.953,828.0,/yC7F367aFSOzsPEvEmzmKtIXyfX.jpg,Lost souls saved nightly.,75.0
Six Feet Under,60.0,2001-06-03,2005-08-21,"['Drama', 'Comedy']",Scripted,English,HBO,8.2,5,63,2005-08-21,8.115,816.0,/ztuH5aJIZQpu5ci27tY2nx1gwjO.jpg,Life is wasted on the living.,74.0
The Mentalist,60.0,2008-09-23,2015-02-18,"['Drama', 'Crime', 'Mystery']",Scripted,English,CBS,8.2,7,151,2015-02-18,8.39,3378.0,/acYXu4KaDj1NIkMgObnhe4C4a0T.jpg,Let the mind games begin.,65.0
Westworld,63.0,2016-10-02,2022-08-14,"['Drama', 'Science-Fiction', 'Western']",Scripted,English,HBO,8.2,4,36,2022-08-14,8.075,4948.0,/8MfgyFHf7XEboZJPZXCIDqqiz6e.jpg,These violent delights have violent ends.,69.5
Star Trek: Voyager,60.0,1995-01-16,2001-05-23,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,UPN,8.2,7,172,2001-05-23,7.87,792.0,/gNS5tRSG3UlXodCxznKKOKweqxh.jpg,Charting the new frontier,66.0
Hannibal,60.0,2013-04-04,2015-08-29,"['Drama', 'Crime', 'Horror']",Scripted,English,NBC,8.2,3,39,2015-08-29,8.23,2121.0,/pbV2eLnKSIm1epSZt473UYfqaeZ.jpg,Savor the hunt,80.67
Mr. Bean,30.0,1990-01-01,1995-11-15,"['Comedy', 'Family']",Scripted,English,ITV1,8.2,1,14,1995-11-15,7.967,1150.0,/pUNQV35kDaKuejnXGNiUeEBurNE.jpg,The Amazing Mr. Bean!,N/A
